card.basic_infantry.name,Basic Infantry
card.basic_infantry.rules_text,Quick Shot targets enemies .
card.basic_infantry.normal_rules_text,"{KW:stockpile} 2. {MELEE} 1–3, {MOVE} 3, 5 {HP}. Quick Shot {N}: deal 2 damage to an enemy."
card.basic_infantry.flavor_text,
card.sandbox_ranger.name,Sandbox Rifleman
card.sandbox_ranger.rules_text,Sandbox testing unit.
card.sandbox_ranger.normal_rules_text,"{RANGED} 2 at {RANGE} 6, {MOVE} 3, 4 {HP}."
card.sandbox_ranger.flavor_text,
card.taunt_guard.name,Taunt Guard
card.taunt_guard.rules_text,Enemies orthogonally adjacent cannot move away and must target this unit. Any move that ends on a tile next to this unit stops there. Pathfinding cannot enter this unit's tile.
card.taunt_guard.normal_rules_text,"{KW:taunt}. {MELEE} 1–2, {MOVE} 2, 6 {HP}."
card.taunt_guard.flavor_text,
card.sky_banner.name,Sky Banner
card.sky_banner.rules_text,
card.sky_banner.normal_rules_text,"{MELEE} 0, {MOVE} 3, 4 {HP}. Allied units get +1/+1 and {KW:flying} while this unit is alive."
card.sky_banner.flavor_text,
card.kill_spell.name,Kill Spell
card.kill_spell.rules_text,
card.kill_spell.normal_rules_text,{REFLEX}. Destroy any target by dealing lethal damage.
card.kill_spell.flavor_text,
card.poison_cloud.name,Poison Cloud
card.poison_cloud.rules_text,
card.poison_cloud.normal_rules_text,{REFLEX}. Apply {FX:poison} 3 to any target that can receive {FX:poison}.
card.poison_cloud.flavor_text,
card.ignite.name,Ignite
card.ignite.rules_text,
card.ignite.normal_rules_text,{REFLEX}. Apply {FX:fire} 3 to any target.
card.ignite.flavor_text,
card.deep_cut.name,Deep Cut
card.deep_cut.rules_text,
card.deep_cut.normal_rules_text,{REFLEX}. Apply {FX:bleed} 3 to any target that can receive {FX:bleed}.
card.deep_cut.flavor_text,
card.silence.name,Silence
card.silence.rules_text,"While {FX:silenced}, keywords, passives, and buffs are disabled. {KW:focus} spells may still be cast from that unit."
card.silence.normal_rules_text,{REFLEX}. Apply {FX:silenced}.
card.silence.flavor_text,
card.cleanse_silence.name,Cleanse Silence
card.cleanse_silence.rules_text,
card.cleanse_silence.normal_rules_text,{REFLEX}. Remove {FX:silenced} from any target.
card.cleanse_silence.flavor_text,
card.stealth.name,Stealth
card.stealth.rules_text,Stealthed units cannot be directly targeted by enemy attacks or abilities. Area effects still apply. Attacking removes all {FX:stealth}. Lose 1 stack at the start of your turn.
card.stealth.normal_rules_text,{REFLEX}. Apply 1 {FX:stealth} to an allied unit.
card.stealth.flavor_text,
card.low_cover.name,Low Cover
